Species*,Exp*,Trt*,IrrDate,IrrAmount
wheat,HSCE0701,16,8004,22.6
wheat,HSCE0701,16,8005,54.6
wheat,HSCE0701,16,8010,36.7
wheat,HSCE0701,16,8011,21.8
wheat,HSCE0701,16,8018,40.4
wheat,HSCE0701,16,8025,41.5
wheat,HSCE0701,16,8038,19.8
wheat,HSCE0701,16,8044,24.6
wheat,HSCE0701,16,8053,24
wheat,HSCE0701,16,8059,60.2
wheat,HSCE0701,16,8067,32.5
wheat,HSCE0701,16,8073,19.9
wheat,HSCE0701,16,8074,18
wheat,HSCE0701,16,8081,34.1
wheat,HSCE0701,16,8088,51.7
wheat,HSCE0701,16,8094,58.8
wheat,HSCE0701,16,8101,60.1
wheat,HSCE0701,16,8108,56.2
wheat,HSCE0701,16,8115,52.1
wheat,HSCE0701,16,8122,74.8
wheat,HSCE0701,16,8129,58.7
wheat,HSCE0701,17,8004,24.1
wheat,HSCE0701,17,8005,48
wheat,HSCE0701,17,8010,30.6
wheat,HSCE0701,17,8011,21.5
wheat,HSCE0701,17,8018,37.6
wheat,HSCE0701,17,8025,36.9
wheat,HSCE0701,17,8038,3.9
wheat,HSCE0701,17,8038,15.7
wheat,HSCE0701,17,8044,22.2
wheat,HSCE0701,17,8045,9
wheat,HSCE0701,17,8046,2.1
wheat,HSCE0701,17,8053,22
wheat,HSCE0701,17,8053,2.2
wheat,HSCE0701,17,8059,66.4
wheat,HSCE0701,17,8059,2.7
wheat,HSCE0701,17,8067,48.6
wheat,HSCE0701,17,8067,3.3
wheat,HSCE0701,17,8073,17
wheat,HSCE0701,17,8073,3.7
wheat,HSCE0701,17,8074,15.9
wheat,HSCE0701,17,8081,39.4
wheat,HSCE0701,17,8081,4.3
wheat,HSCE0701,17,8088,48.4
wheat,HSCE0701,17,8088,5.1
wheat,HSCE0701,17,8094,59.5
wheat,HSCE0701,17,8094,5.9
wheat,HSCE0701,17,8101,58
wheat,HSCE0701,17,8108,56.2
wheat,HSCE0701,17,8108,5.6
wheat,HSCE0701,17,8115,45.4
wheat,HSCE0701,17,8115,5.3
wheat,HSCE0701,17,8122,87.8
wheat,HSCE0701,17,8122,8.8
wheat,HSCE0701,17,8129,57.8
wheat,HSCE0701,17,8129,5.9
wheat,HSCE0701,18,8004,24.3
wheat,HSCE0701,18,8005,56.8
wheat,HSCE0701,18,8010,35.9
wheat,HSCE0701,18,8011,21.2
wheat,HSCE0701,18,8018,37.5
wheat,HSCE0701,18,8025,29.9
wheat,HSCE0701,18,8038,17.9
wheat,HSCE0701,18,8038,1.8
wheat,HSCE0701,18,8044,22.4
wheat,HSCE0701,18,8045,13.8
wheat,HSCE0701,18,8046,2.2
wheat,HSCE0701,18,8053,2.2
wheat,HSCE0701,18,8053,22.4
wheat,HSCE0701,18,8059,44.9
wheat,HSCE0701,18,8059,2.7
