YEAR,MO,DY,SRAD,WS10M,T,T2MDEW,T2M_MAX,T2M_MIN,rain,RH,date
2019,1,17,2.45,1.2,24.12,18.46,29.33,20.48,0,71.88,17 January 2019
2019,1,18,2.41,1.45,24.58,19.14,29.97,20.76,0,73.5,18 January 2019
2019,1,19,2.05,1.23,23.83,18.71,28.31,21.11,0,74.5,19 January 2019
2019,1,20,2.6,1.32,23.53,17.61,28.73,20.26,0,71.06,20 January 2019
2019,1,21,2.5,1.23,24.78,18.21,29.9,20.8,0,68.44,21 January 2019
2019,1,22,2.49,1.02,24.9,18.33,29.66,20.92,0,68.31,22 January 2019
2019,1,23,2.38,1.3,23.9,17.74,28.96,19.75,0,70.19,23 January 2019
2019,1,24,2.6,1.1,23.62,18.24,28.19,19.88,5.27,73,24 January 2019
2019,1,25,2.32,1.27,24.35,17.72,30.02,19.8,0,68.69,25 January 2019
2019,1,26,2.42,1.31,24.69,17.64,30.17,20.76,0,66.75,26 January 2019
2019,1,27,2.67,1.33,24.89,17.48,30.15,21.3,0,65.62,27 January 2019
2019,1,28,2.58,1.4,25.74,17.75,30.78,21.6,0,63.44,28 January 2019
2019,1,29,2.23,1.09,23.97,19.26,28.61,20.94,0,76.25,29 January 2019
2019,1,30,1.76,1.55,25.74,18.87,30.87,22.73,0,67.56,30 January 2019
2019,1,31,2.29,1.02,25.59,18.33,30.56,21.56,0,65.94,31 January 2019
2019,2,1,2.8,1.11,24.97,17.65,30.02,20.9,5.27,66,01 February 2019
2019,2,2,2.68,1.23,24.25,17.75,29.81,19.95,5.27,69.5,02 February 2019
2019,2,3,2.92,1.38,24.51,16.38,30.65,19.83,0,62.81,03 February 2019
2019,2,4,2.17,1.51,25.3,17.05,30.32,20.69,0,61.94,04 February 2019
2019,2,5,2.51,1.28,26.15,17.8,31.9,20.55,0,62.12,05 February 2019
2019,2,6,2.63,1.38,25.61,18.65,30.93,20.48,0,67.44,06 February 2019
2019,2,7,2.06,1.21,25.1,18.33,29.09,21.48,0,67.5,07 February 2019
2019,2,8,2.4,1.08,24.92,17.2,29.08,21.24,0,63.56,08 February 2019
2019,2,9,2.43,1.33,25.31,17.83,30.58,21.43,0,64.81,09 February 2019
2019,2,10,2.66,1.04,24.89,16.17,29.94,20.86,0,60.94,10 February 2019
2019,2,11,2.77,1.09,25.19,16.2,30.65,20.44,0,59.19,11 February 2019
2019,2,12,2.76,1.27,25.43,16.23,31.33,20.11,0,59.31,12 February 2019
2019,2,13,2.84,1.38,26.37,17.08,32.41,21.08,0,58.94,13 February 2019
2019,2,14,2.56,1.35,26.24,19.4,30.95,21.67,0,67.69,14 February 2019
2019,2,15,2.92,1.51,27.37,19.05,33.71,21.77,0,63.31,15 February 2019
2019,2,16,2.77,1.52,27.33,18.27,32.78,23.26,0,60.06,16 February 2019
2019,2,17,2.24,1.59,25.97,19.41,30.35,22.01,0,68.5,17 February 2019
2019,2,18,1.98,1.19,25.03,18.09,29.76,21.4,0,67.31,18 February 2019
2019,2,19,2.41,1.41,25.84,17.36,31.55,21.12,0,62,19 February 2019
2019,2,20,2.49,1.4,26.06,18.09,31.69,21.44,5.27,64,20 February 2019
2019,2,21,2.79,1.41,26.15,16.52,32.69,21.09,0,59.19,21 February 2019
2019,2,22,2.65,1.62,25.61,17.48,30.79,21.9,0,62.38,22 February 2019
2019,2,23,2.23,1.23,25.31,17.55,29.82,21.33,0,63.5,23 February 2019
2019,2,24,2.65,0.8,25.93,16.01,31.9,20.24,0,57.06,24 February 2019
2019,2,25,3.09,1.06,25.47,14.8,31.67,20.06,0,53.88,25 February 2019
2019,2,26,3.1,1.14,25.63,16.58,31.9,21.19,0,59.75,26 February 2019
2019,2,27,2.24,1.53,25.23,17.23,31.38,20.23,0,64.5,27 February 2019
2019,2,28,2.59,1.61,25.27,17.5,29.94,21.22,0,63.31,28 February 2019
2019,3,1,2.51,1.2,26.45,17.65,31.53,21.89,0,60.31,01 March 2019
2019,3,2,2.37,0.7,26.07,18.03,31.11,22.05,0,63.19,02 March 2019
2019,3,3,1.91,1.12,26.05,17.85,30.67,22.11,0,62.25,03 March 2019
2019,3,4,2.08,1.43,26.55,17.58,31.62,22.07,0,59.75,04 March 2019
2019,3,5,2.13,1.25,24.67,18.28,27.72,22.65,0,68.25,05 March 2019
